Model,Feature Set,Accuracy,Precision,Recall,F1 Score,AUC,Top Features
SVC,SVM-RFE,0.6279491833030852,0.6025641025641025,0.39662447257383965,0.47837150127226463,0.6344970302883711,"hsd17b11, chek2, radio_therapy, fancd2, kit"
SVC,RF-RFE,0.7223230490018149,0.6981132075471698,0.6244725738396625,0.6592427616926503,0.8140369265500282,"overall_survival_months, age_at_diagnosis, nottingham_prognostic_index, ar, cdkn2c"
Random Forest,SVM-RFE,0.631578947368421,0.6011904761904762,0.42616033755274263,0.49876543209876545,0.643614448117391,"hsd17b11, arid1a, kit, epcam, mmp10"
Random Forest,RF-RFE,0.7477313974591652,0.7112068965517241,0.6962025316455697,0.7036247334754797,0.8271587519148593,"overall_survival_months, age_at_diagnosis, jak1, cdkn2c, nottingham_prognostic_index"
